KO.PLT_PBMC_Vehicle_REP1	KO.PLT_PBMC_Vehicle_REP2	KO.PLT_PBMC_Vehicle_REP3	KO.PLT_PBMC_Vehicle_REP4	WT.PLT_PBMC_Vehicle_REP1	WT.PLT_PBMC_Vehicle_REP2	WT.PLT_PBMC_Vehicle_REP3	WT.PLT_PBMC_Vehicle_REP4
Golga2	2003.999	673.001	109.001	1053.001	652	913.999	850	1935.998
Uck1	2148.97	1082.994	222.956	713.992	976.962	970.812	925.008	1781.832
Mien1	3661.977	1509.979	254.997	986.985	1257.928	1555.847	1459.956	2644.865
Axl	671	207.999	38.999	165	73.999	274	238	605
Tgfb1	1739	690	136	966	192	814	504	1269
Ccdc97	3962	1600	221	1497	653	1648.001	1302	3124
Akap8l	3000.999	1347	274.999	1350	663.001	1201	1220.999	2305.999
Pdcd2l	674	373	54	235	229.999	267	306.001	580
Gtf2f1	2054	912	177	728	936	1078	1175	2038
Clpp	1234.005	434	92	366	369	523	436	964
Alkbh7	664	289	70	224	227	327	252	594
Dennd1c	2514	1070	212.999	1208.999	767.001	1039	892	1805
Med6	853.001	272	54	283.001	405	468	420	675
Lcp2	6969.998	2591	525	1931	2603	2896.999	2693.001	5182
Cse1l	2046	768	166	543	955	1124	1150.001	2112
Naa20	3580.193	1585.089	315.927	1268.646	1518.965	1692.465	1633.273	3294.012
Prkra	263	99	10	52	107	88	74	203
Plekha3	175	156	23	122	182	91	54	182.999
Ykt6	3177	870	206	917	805	1336	1144	2099
Baz1b	2957.002	1201	237.999	1076	923.005	1105.003	1101.007	2289.004
Pex6	403.999	340	38	148	98	155	136	266
Mrpl2	2258.999	859.999	154	582.999	810	713	780	1397.001
Mea1	4633.74	1637.358	327.06	1772.444	1490.786	1689.091	1525.416	2901.938
Gnmt	111	54	12	50	98	53	42	110
Kdelr1	1293.999	443	76	459.001	318	554	544	1077
Tmem143	147	48	16	92	48	96.259	97	195.999
Ggct	148	26	12	56.999	82	83	84.999	117
Btbd6	154.001	89	16	49	44	62	24	86.001
Nudt14	250	82	27	77	137	102	92	179
Flii	7538	2644	514	2834	1826	3841.999	3088.001	6651
Top3a	827.001	474	92	433.001	175	264	374.999	644.999
Atg4d	3473.386	1535.988	257.165	1680.234	729.927	1387.728	1170.097	2423.646
Qtrt1	687.999	405	50.999	333	204	236	269.998	569.999
Hdgfl2	1047.999	420.001	111.999	599.999	273.001	630	461	1102.001
Chaf1a	74.59	34.09	3.696	71.198	31.008	125.18	86.515	224.439
Adprh	6492	2329	347	1971	1516	2546.988	2198	4259.994
Tmem39a	1039.001	367.001	68	262	309	370.001	494.646	820.387
Timmdc1	650	424	71	229	230	293	253	566
Mcm2	381.001	224	49	155	68	92	185	452
