KO.PLT_PBMC_Vehicle_REP1	KO.PLT_PBMC_Vehicle_REP2	KO.PLT_PBMC_Vehicle_REP3	KO.PLT_PBMC_Vehicle_REP4	WT.PLT_PBMC_Vehicle_REP1	WT.PLT_PBMC_Vehicle_REP2	WT.PLT_PBMC_Vehicle_REP3	WT.PLT_PBMC_Vehicle_REP4
Spred2	316	48	16	93.801	72	86	120.858	172
Pqlc3	5113	1941.001	354.001	1578	1659.999	2094	1993.999	4320.993
Wdr89	446.223	207.18	25.363	77.793	95.21	183.617	132.802	322.224
Thtpa	131.445	44.54	17.143	75.438	96.482	182.339	105.742	220.046
Adrb2	5140	2049	369	1986	1675	1970	1861	3206
Mms22l	88.999	33	14	20	13	67	44.999	9
Tssc4	2018.528	680	107	575.001	471.71	707.998	751.999	1130.999
Zfp764	270.653	179.764	25.581	93.966	179.789	131.149	125.342	247.349
Basp1	333	187	22	122	180	168	150	306
B230219D22Rik	4145	1814	369	1519	1617	1582	1697.997	3938
Whamm	122.815	67	19	70.666	71	56	96.617	96.775
Zfp36l2	14324	4293	918	4809	1747	7187.887	5805.967	12192.93
Zswim3	148	61	15	39	97	127	92	63
Serpinb9	580.98	141	37	193	153	121.683	95	441.94
Lyrm2	800.999	300	58	194	445.996	364	354	573
Cradd	364.993	239.001	40	187	65.999	138.258	177.999	344.681
Gvin1	625.793	185.793	14.403	160.743	266.802	171.112	133.596	310.854
Paip2b	246	297	43	201	111	135	108	274
Tmem268	1103	295	62.001	330	218	357	292.999	791
Ifit2	8	187	1	35	24	16	13	29
Mrps12	1598.001	545	126	580.999	630	617.001	577.001	1153
Wnk1	4343.999	1687.001	378.001	2073	1868	1705	1568.998	3145.161
Teddm2	96.405	66.067	11.006	77.053	43.738	47.51	34.081	111.87
Ing1	1171	371.001	80	330	355.999	392.001	327.999	609
Slc25a51	2474.024	788.024	109	683	637.476	1067.999	1017.024	2100.999
C2cd2	958.127	315	46.999	333	249.122	331.001	212.266	544.072
Tmem104	2787	834	197	1417	405	1263	993	2145.999
Eif4g1	12520	5499.999	1047.998	5794	2777.998	5238.001	5087	10637.001
Polr2k	1113.787	444.958	93.912	159	584.117	567.578	458.667	839.968
Gapt	1141	341	101	333	396	326	315	557
Zfp830	975	381	76	246	443	545	511	887
Pofut1	355	139	24	103	60.999	97.999	118	327
Stard5	3234.061	1016.615	318.073	1372.709	1045.938	1474.626	1206.434	2643.23
Calhm6	36	86	8	14	122	40	12	111
Snx12	2997.001	1160	233	1030	895	1410	1208	2678
Otulin	298	183	42	174	190	151	127	363
Ppp1r15b	3618.952	1207.849	243.843	900.693	745.894	1977.444	1486.013	2868.781
Lrrc8d	3375	1170.708	251.118	1047.002	1257	1384	1365.874	2783.968
Mosmo	100	39	11	42	60.083	69	30	118.001
Mcmdc2	31	42	5	60.999	16	23	12	21
Cep295	907.134	510.154	106	453.421	386.989	454.793	445.176	1047.682
9930021J03Rik	333.001	79	13	71	201	110	85	260
Patl1	3136	1109	212	780	617	1103	1040	2165
Fut10	194.999	68	0	74	40	27	40	55
Tmem229b	1171.961	475.813	87.999	504.7	338.209	584.999	442	1155.85
Chrm3	135	58	8	25	9	60	90	74
Kcnrg	92	48	14	120	37	37	58	80
E2f8	90	44	16	54	6	29	67	75.227
Zfp84	1295	345	112	230	371	466	380	1040
Scaf8	1335.216	598.71	124	477	451.863	702.702	575.975	1188.527
Pik3r6	4156.001	1484	262	1497	1070	1804	1560	3026
Plaur	10148.999	4721.001	1118	6222	2720	4271.999	3772	8115
Scand1	2073.622	834.358	150.001	788.952	539.064	957.553	816.96	1567.129
Vps13a	583.094	228.17	48.959	225.875	197.374	288.317	188.43	422.512
Pilra	9407.402	3826.665	833.879	3899.73	3323.838	3463.971	3257.463	6250.654
Zfp62	1558	483	113	484	616	590	580	1290
Ermp1	1959.001	765	162	1061	595	706	663.999	1441
Rpl37a	1846.141	679.31	147.888	225.844	954.488	1441.03	864.816	1787.445
Smco1	37	29	16	28	41.889	40.848	29	55.682
Zfp322a	1120.001	218	56	240	228	378.999	401.999	683.985
Rpl27a	1124.526	457.059	98.881	251.161	530.384	734.654	599.69	1028.846
Jrk	289	151.999	10	71	64	59	96	186.022
Yod1	3373	2098	292	1611	1854.933	827.995	970	2399.758
Kcnk6	251	95	18	65	77	100	75	168
Bex3	152	105	17.966	69	113.987	143	108.969	102.939
Hnrnpa1	3929.746	1612.154	371.851	1380.092	1867.165	1908.799	1791.82	3507.734
Cmtr2	628	164	30	99	172	194	246	475
Camk2n1	71	61	16	41	41	32	34	48
Tmem150b	179.24	48.474	6	64.709	63.177	92.107	73.26	149.238
Cox17	4394.999	1985	324	1193	1991	1981.001	1660.999	3421
Golph3l	1156.912	660.305	112.531	371.285	689.289	541.802	616.211	1015.352
Ar	94	20	4	57	14	23	29	25
Zfp526	231	33	7	78	32	107	74	138
Fam43a	2526	770	146	541	616	1370	1281	2171
Zfp319	470	98	16	96	67	170	160	220
Unc119b	1135.976	445.808	102.841	658.988	337.897	564.036	470.88	1169.657
4930430F08Rik	349.054	158.213	24.126	166.672	97.134	98.339	159.482	285.736
Zfp518b	185	37	17	14	30	95	39	134.425
Lyrm4	1248	837.999	101	758	725	392	442	996.804
Prr12	434	185	29	202	54.14	152	150	316
Tcaim	111	20	6	18	31	76	62	116
B3gntl1	265.303	150.506	19.268	145.339	107.284	95.408	125.362	167.331
Rbm12b1	119.372	70.878	5.049	63.217	21.5	104.209	123.146	185.151
Mtfr1l	5662.001	2487.999	446	2101	1914	2024.999	1950	4235.001
Tmem251	1961	968	164	691	807	589	601	1228
C87436	869.978	363	103	387	353.971	530	564.351	830.963
Tifa	5248	1851.999	501	1947	2321	2938	2402	4762
Chtf8	4351.688	1238.689	345.644	1619.448	821.037	1760.281	1770.398	3674.548
Csnk2a2	260	169	33.001	113.999	238	146	158.001	359.001
Hmga1	8012.72	2703.151	551.197	2743.201	1924.017	3889.786	3740.083	7129.963
Bst2	807	310	54	211	274	448	400	721
Rpl14-ps1	255.662	158.723	26.548	143.818	80.178	89.186	102.086	185.664
Cdc42se1	12631.001	4796	880	4608.999	3306.999	5770	4771.999	9615
Kctd11	681	222	58	138	145	418	204	713
Ccdc66	294.171	62.561	14.657	135.833	76.224	126.232	106.076	167.036
Mrps7	1843.651	735.33	137.182	564.775	478.502	759.223	729.141	1382.359
Epm2aip1	986	291	80	264	359	411	327	667
Riox1	1112	368	67.15	412	106.749	544	458.216	914.916
Zfp787	804	277.999	47	272	151	356.999	352	572.001
Ppp1r3b	329	80	23	108	84	58	119	273
Cldn12	90	16	5	58	106	42	32	53
Mpeg1	68023	19697	4325	16953	18019	34242	29964	59186.998
Cyren	529.645	131.86	28.888	128.06	88.228	201.407	208.212	334.498
Atp10d	1942	1071	207	803.999	795.46	888	714	1402
Slc39a3	1362	796	155	620	371	583.836	414	1321
Fam187b	27	9	3	13	40.467	31	53	63
Brox	2026.036	766.357	162.499	533.987	479.703	1052.792	846.235	2159.2
Ckap4	590	177	40	147	139	193	176	342.383
Hectd3	1377.68	477	88	506.915	300.023	533.567	612.285	1304.294
Pramel12	2101	809	125	602	919.999	790	640.999	1776.001
Fbl	3510.156	1290.564	222.498	1305.338	769.134	1537.506	1319.495	2651.83
Mbtps2	1480.749	553.302	76.001	387.932	434.594	432.419	427.245	849.248
Atxn1	1323	686	111	670	405	398	313	877
Irgm1	316	84	24	110.999	145.758	143	166	269.999
Zfp740	1060.775	406.001	89	462	175	433.911	336	863.572
Ltb4r1	997	378	91	211	301	427	426	804
Tefm	642	162	49	99	226	161	174	463
Adck2	894.2	318.837	56.857	323	166	352.001	323.176	815.085
Nqo2	298.439	159	46	101	98.999	97	92.001	242
Zbtb21	1603.873	851.242	134	832	798.878	659.999	674.733	1609.929
Tshz1	877	532	76	415.999	678	399	366.008	581
Tapt1	401.999	135	19	91.999	155	148	113.999	255
Mars2	294	95	36	60	71	174	198	384
Spsb4	501.16	166.355	34.753	226.572	111.219	271.462	181.872	722.502
Zfp41	278	52.464	18	82	60.235	35	95.943	153.513
Spata2	961	359.999	32	273.001	130	326.124	353	448
Zfp445	5242.999	2802.999	384	2328	1736.001	1944	1689	4236.999
D030056L22Rik	583.968	155	18	107	193.421	203.922	185.916	363.805
Tmem164	7799.198	3541	659.001	4572.999	1137.921	3340.999	3004	6304.999
Dusp28	118	40	5	13	45	88	52	104
Ngrn	1155	530	92	576	417	417	493	827
Tmem198b	418.235	203.087	30.579	221.08	74.971	185.736	179.93	363.899
Rnf31	1219.83	288.001	45	460.906	310.903	491.737	401.853	1013.753
Dnajb7	154	103	17	138	53	68	49	134
Ticam1	806	137	61	189	105	305	195	303
Cltc	10223	3179.218	642	3097	3224.501	5436.05	4389	9258.508
Cd24a	204	52	12	74	100	86	83	214
Zfp654	1515	581	108	613	416	351	388	807.139
Khnyn	2660.558	925.739	178.709	823.348	483.268	1153.096	1013.942	1988.558
Neurl3	4477	1791	409	1608	2062	2548	1996	3577
Rab2a	4375.984	2897.993	383	2076.993	1648.948	1150.987	1210	2516.947
Dync2h1	111	29	12	45	51.001	20	49.001	110
Dusp18	103	3	4	33	26	68	27	118
Ythdf3	6215.999	2747.999	554	2044	2840	2420.532	2583.549	5369
Rpl9	4384.322	1414.641	276.214	973.641	1901.14	2271.864	2249.997	3607.585
Taf9b	243	142	39	147	196	176	128	220
H2bc6	112.48	26.773	14.889	51.105	24.013	23.561	52.637	41.262
C2cd3	1442.513	285.838	80.984	577	302.817	794.494	562.521	1208.88
Ptgs1	1663.995	531.941	120	541.136	505.88	751.933	761.975	1835.976
Emc6	1697	748	134	531	887	984	909	1234.997
Zfp358	544	121	22	110	42	170.001	141.001	216
Sfn	341	109	36	99.913	237.988	101	149.99	262.976
Neurl4	241.999	146	32	142.999	173	109	71	175
Tdg-ps	130.926	50.1	14.359	61.141	53.077	64.948	44.534	130.312
Abhd17b	215	171	16	75	88	61	44	158
Dnah14	132.103	62.347	8.531	46.712	38.259	80.374	33.178	118.948
Zfp768	475	175	45	217	135	181	176	395
B4gat1	872.034	270.392	44.527	214.862	218.773	295.423	323.362	535.187
Atmin	644	181	20	163	227	251	190	472
Tgif1	8123.999	3186.001	610	3026.001	2644.002	3401	3180	5894.999
Zbtb44	1324.001	514	102.001	458	338	380	375	799
Flrt2	1090	558	73	261	207	469.333	559	1175
Gpr68	766.493	253.528	45.062	193.17	149.076	319.886	240.129	715.053
Rexo1	6635.998	3401	618	3273	1593.989	2554	2224.995	4971.986
Cmya5	63.671	61.935	9.898	27	31	21.74	35	6
AI837181	453	237	50	294	196	177	204	455.993
Xxylt1	204	56	13	83	66	33	38.586	142
Arl4a	452	147.288	60	227	203.078	200	147.064	299
Gphn	176	23	9	67.005	86.221	50.022	49.022	117
Dynlrb1	5439	2329.001	438	1797	2512.975	2642	2185	4343
8030462N17Rik	940	510	97	524	451	274.001	298	700
Tspyl1	8092	3414	616	3729	2006.778	2770	2603	5761
BC049715	92.273	64.061	10.037	30.125	12.533	43.077	27.131	90.39
Mis18bp1	294.999	93.015	23	119.082	93	109.001	62	274.999
Fbxo28	1807.001	529	96	319.001	616	672.001	720.001	1316
Cltb	1086	416.001	76	393	292	509	411	770
Tmem41b	1220.899	583.838	94.968	490.827	450.731	710.963	616	1404.039
Lxn	1757	709	158	465	750.972	683.948	607	1392.952
Mmp10	0	1	0	0	81	6	0	16
Tyw3	231.668	45.826	24	47.54	114.353	113.246	83.567	152.807
Nxpe5	82.999	15	8	20	26	76	73.138	193
Zfp235	237.854	92.886	17	133.001	89.416	108	88	122
Frat2	37.026	27	3	9	51	11	13	17
A430005L14Rik	2435	1080.999	191.985	821	892	986.984	933.992	1826.001
Paxx	400	150	39	88	153	194.001	168	349.001
2810006K23Rik	275	58	14	66.953	51.235	121.845	62	242.889
Fbxo30	3152	1560	225	1122	1327	1145	1134	2640.288
Cd3eap	727.142	221	53.244	174	138.076	218.111	227.285	501.305
Msl3l2	79	28	8	19	27	46	55	54
Rps8	2507.051	774.426	208.775	556.223	1165.166	1691.178	1288.996	2138.995
Rpsa-ps10	465.302	203.739	29.136	154.409	147.409	190.559	127.98	312.83
Yipf6	1804	900.999	199.001	600.999	913	771.001	804.999	1878
Champ1	463	383	74	315	452	592	382	816
Ust	69	19	6	44	64	70	21	172
Ppp1r2	3264.724	1017.262	218	843.583	746.455	1348.453	1196.828	2264.954
Ubiad1	1243	678	80	605	446	573	566	1424
Bola2	2652.908	1385.662	263.594	612.695	958.551	1360.6	937.404	2066.075
Wbp1l	5480	2194.999	371	2678	579.999	2245	1944.999	3852
Samd9l	440	307	61	138	436	315	260	689.828
Fbxo40	99	43	9	35	27	25	17	115
Utf1	156	12	3	6	50	26	30	19
Lrrc49	77	110	24	85	99	80	102.001	175.001
Atg16l2	834.999	419	64.001	345	255.999	423.999	345	632.998
Phf13	918	315	55	317	78	272	226	643
Slc38a9	938.999	259	81	388.155	418.028	296	316.999	489.017
Sned1	45.701	10.158	11	16	10	10.485	63.434	52.615
Cd300lf	389.361	192.413	57.423	142.647	195.991	272.682	270.978	384.058
Akap10	2666	912.999	162.001	914	676	937	982.001	1607
Ccdc88b	2612	933	176	888	451	1384	950	2004
Trim16	468.867	152.691	39	111	188.721	274.564	228	414.518
Pygo2	4541	1222	243	1593	304	1634	1468.999	3032.999
Cdca4	978	318	94	286.999	325.682	497.001	473	817
Bri3	4068.924	1872	357	1783.929	1415	1675.041	1484	3210.831
Lonp2	3198	1214	223	1142	843	993	939	2186
Gimap6	292	34	15	74	23.558	60	66	95
Gpr157	1113	556	99	385	518	393	350	755
Usp14	2911.19	937.74	193.449	803.929	941.393	1058.542	1247.536	2144.525
Rell1	3147	1324	276	1142	962.885	1282	1187.976	2607
Tnrc6b	2906	1022	202.001	1153	664.003	1027	741	1515
Ankrd16	787	228.001	66.001	238.001	276	375.999	278.001	543
Trappc9	1609.999	590	92	403	425	679.999	687.001	1311.001
Marcksl1	8602	2916.999	506	2633	1769	3722	3050	6054.993
Kcna3	490	248	45	241	77	156	128	202
Stbd1	81	29	8	37	62	36	42	58
Ino80c	2106	856	169	537	817	780	765	1676.983
Gigyf2	2859.002	1003	177.999	858	844	847.012	764	1746.092
Timm8a1	352.365	85.428	13.994	79.07	135.831	171.526	131.861	164.932
Rgmb	683	337	79	274	386	202	239	494
Isg20l2	1630.205	421.993	81.481	484.562	341.191	741.899	640.237	1189.927
Zbtb33	139.75	79.532	7.996	29.979	26.576	33.014	38.813	81.362
Ldlrad3	3878	1332	290	1318	823.001	1446	1273	2551
Arf1	20648.331	6837.681	1372	7039.434	5729.676	9468.667	8292.648	16828.558
Taf13	2674.999	906.786	193	717.488	1274.218	1304	1203.001	2210.555
4632415L05Rik	202	107	28	138	71.963	109	102	157
Rbm15	1178	453	96	563	410	361	325	890
Arid4a	2446.999	1006	185	829.001	1037.999	952	692.999	1674.997
Entpd1	601	302	61.001	221.999	425	353.001	252	744.999
Nat8l	129	41	9	59	23	40	56	79
Kmt2d	6213	3641	637	3473	2684.699	2070.881	1950	4809
Selplg	9616.999	3841.999	868	3369.999	3444.999	4339.001	3551	7833
Mcmbp	6146.001	3660	610	3573	2841	1484	1701	3917
Asb8	837	395	76	196	275	489	448.999	872
Cracr2b	53.829	56.896	7	40.891	31.101	30.095	35.911	41.124
Gpr85	139	79	8	7	66.999	29	27	124
Mfap1b	2685.962	846.747	194.847	589.122	975.869	1036.539	932.664	1796.764
Fbxo10	209	79	15	53	69	78	103	322
Rnf149	2444.125	1410.248	226.575	1069.031	1126.949	945.95	819.35	2166.208
Crebrf	636.999	313	77	267	346	310	250	491.999
Rbm33	869.999	437.001	76.001	463	305	363	271	704
Syngr2	22711	8841.248	1580.999	8068.842	6410.811	8777.001	8020.448	15638.542
Sacs	195	75	23	101	216	123.001	176	177.001
Zfp738	402.394	135.164	44.925	167.379	203.693	177.788	238.387	443.68
Frmd6	250	58	5	62	19.912	65.981	139.956	114
Ankrd46	1031	459	88	448	256.001	529	413	848.999
Pskh1	1156	365	56	324	218	417	340	620
Coa7	682	439	70	281.999	318.999	363	305	710
Pdp2	3886	2379	332	2458	2323	902	893	2480
Socs4	1831	651	140	646	1062	739	845	1841
Zfp407	2005	422	144.759	512	458	687.001	748.924	1131
Timm29	1582.752	720	167	617	498	907.967	659	1639.015
Nupl2	228.999	90	20	49	88	119	98	231.001
Cyp4f16	10611.498	3257.187	726.494	3384.63	3264.278	3100.982	2874.128	5636.909
Smim5	228.999	101	14	127.999	82	30	58	117
Ccdc57	69	27	6	47	20	28	61	38
Mypop	104.299	100.468	9.073	68.067	27.202	70.801	48.092	87.457
Zbtb8b	114	49	9	45	54	44	42	87
Fitm2	141.936	63	29.608	127.43	32.011	95.685	97.508	289.642
Nrip1	1850.999	1048.999	167	1028	571.999	556.585	577.001	1052.002
Tyw5	554.149	183.634	24.767	155.19	152.483	181.494	205.68	538.817
Mmgt2	219	54	10	38.001	68	65	113	174.001
Cd300e	11682	4802	962	4045	4806	4514	4188	7630
Cxcr6	358	49	22	27	24	68	40	80
Jaml	465.814	232.931	49	107	202.877	173	98.455	356.559
Phldb1	833.999	218.999	23	251.999	92	254.001	282	325.001
Tob2	1845.138	629.999	125	827	597	928.798	877	1564.885
Thnsl1	103	4	15	33	22	40	78	98
Mlec	9785	3761	717	4261	1752	4091	3726	7775
E130311K13Rik	147	97	8	99	78	84	68.881	128
Morc2b	107	44	9	42	49	25	33	84
Myof	5642.999	2218	424	1942	1940	3052	2977.001	6405.001
Lemd3	96	67	4	85	21	60	48	141
Rhno1	980.49	458.438	94.865	468.336	359.478	352.268	313.443	563.091
Tpcn2	1964.999	417	94.001	341.001	277	986	693.999	1361
Mex3d	154	66	14	93	76	35	71	228
Ccdc6	2881	1925	271	1937	1564	778	792.921	2091
Tprn	884	289	42	208	112	321	209	627
Tbc1d12	54	20	1	10	56	27	35	65
Klhl11	74	57	5	26	48	32	58	77
Mcat	107	144	14	101	69.01	53.016	46.018	148.007
Foxo3	1640.999	860	184	929	518	759.001	665.001	1537
Rpl29	1097.386	358.145	93.77	304.928	420.294	653.397	538.66	942.635
P2ry6	4737	1495.001	356	1216	1653	2298	1903	4006
Dcun1d3	589	118.001	22	172.999	40	197	180.999	394
Cyb561d1	1462	434	78	582.001	187	466	552.999	1219
Cep120	2748	1189.001	224.999	1003	941	1119	1054	1993
Slc35e4	1876	717	107	692	217	917	799	1885
Vps37c	3564	1353	254.001	1238	730.001	1502	1494	2670.999
Slc39a9	2742.931	752.454	162.015	679.55	646.041	1027.757	963.789	2122.264
Arhgap30	8468	4093	740.999	3706.999	1992.001	4004	3518	7635
Phf3	1280.05	635	90	594	468	429.999	473.999	1119.365
Hexim1	544	270	24	195	139.205	238	176	471
Zfp710	6954	3488.999	672	3647.999	3049.762	2447	2284.994	5109.386
Rnf24	214.894	85.264	35.861	65.002	32.663	190.032	97.348	338.8
Fkrp	1366.001	574.999	64	619	332	499	468	952
Zfp689	151.601	78.567	11.991	79.374	73.205	65.102	67.695	87.18
Ccdc125	1405	723	152	467.693	493	573.804	544	1172.906
Tada3	888.999	335	47.999	475	187.001	447	426.001	778.993
C1galt1c1	1985	647	125	575	691	760	812	1346
Atxn7l2	506.001	252	33.001	415.999	131	233	297.999	516.999
Clec4a1	25515	9778	1878	7972	10498	10713	9945	18187
Olfr398	44	12	5	6	51	36	19	65
Armcx3	1412	539	112	390.987	664.94	616.831	701.312	910.999
Acap2	4552.974	1776	360.001	1769	1295.999	1702.999	1726.999	3785.926
Bmyc	639.817	298.937	51	322	226	275.077	176.747	478.096
Zadh2	2278	980	157	924	591	1074	859	1677
Sephs2	7756.627	3034.734	675.554	2550.861	2442.781	3818.362	3404.514	5993.631
Ccr2	11021.113	3681.049	696.859	2322.429	5593.583	3684.638	3987.972	8776.245
Dcaf5	486	174	37	166	78	153	150	282
C5ar1	25188	7881.001	1819	6279	9005.001	13961.999	12170	22775
Zfp518a	614	185	42	159	333	245	227	457
Rtl5	784	170.999	40	292.999	51.04	330	215	336
Pdp1	1407	508	78.001	288	323	348.999	333	1069
Tigd2	251	132	28	63	67	120	97	191
Mblac1	247	145	24	103	58	97	80	94
Iba57	250	75	11	33	20	90	80	181
Zfp219	133	44	13	41.476	41.743	92.941	85.91	190.89
Trappc1	2968.001	1301	300	981	1459.001	1382	1258.001	2706
Prmt6	951.779	355.717	55.291	334.797	294.773	370.807	256.331	473.49
Ccdc71	2028.839	1014	145.001	985	546	854	821.896	1899.999
Fut4	1367	420	84	306	243	420	489	909
Sorl1	2915	1468.999	294	1170	1425	1249.947	1158	2376.91
Smcr8	1810.284	628.811	114	622.639	470.83	828.492	638.391	1560.403
Kmt5a	1933	709.999	156	790.001	631	820.999	752	1365
Retreg2	2637.999	1036.001	185.001	956	872	1016.999	957	2008
Dcaf7	6003	1775.945	499	1656.961	1363.118	2939.941	2311.937	5109.74
Gemin4	285.654	253.572	17	113.213	252.411	217.178	184.42	335.172
Ogfr	1462	630	113	709	458	629	546	1091
Prokr1	73	38.999	3	69	45.095	30	54	54
Tmem241	327	85	33	156	193.001	180.001	196	336
Zfp260	1155	395.001	77	337	430	492	686	1429.841
Cyp20a1	1782	484	113	493	684	914.648	690	1564.849
Aff4	1127	374	105.999	430	587.999	441.001	369	834
Ctu2	520.693	200.3	43.857	149.003	159.452	301.632	244.336	496.959
Tmem67	81.999	4	4	21	40.332	52.502	82.049	83.289
Ccnq	578	261	45	227	192	219	207	291.979
Dtx3l	1852.769	772.25	150.967	600.755	342.887	890.318	629.399	1233.391
Proser1	490	143	50	243.999	70	289	123	408
Spty2d1	3247.687	597.555	199	797.566	1141.857	1217.675	1236.387	2731.205
Rps23	3412.143	1064.633	238.978	607.59	1527.297	2234.005	1679.451	2765.98
Tmem202	185.212	55.349	16.239	60.053	37.888	46.34	36.109	94.668
Clip1	7968.998	3508.001	700	3458	2401.999	3197	2862.055	6150.001
Polr1a	2236	686.999	138	550	525.999	764.999	749	1466.935
Ap5b1	2261	638.999	132	878	273	895	841	1958.999
Tsku	123	72	7	52	17	64	39	87
Ccdc69	235	176	36	119	81	127	173	246
Zbtb45	1762	784	146	719	616.937	792	647	1487
Zfp644	805.999	410.001	82.999	467	471.674	446.001	394.002	763
Gpr55	73	3	7	40	4	54	16	96
Slc17a5	1205	512	97	278	594	552.949	551	1143
Tifab	14155	5383	1190	4650	4114	5874	5049	10467
2310022A10Rik	2488	1122	171.001	874	591.9	1203	1084	2284
Zbtb5	511.17	220.897	41	241.484	282.913	355.576	247.014	648.166
Bdp1	2564	1194	209.999	994	1074.999	1077	1014	2036.998
Aftph	4805	2050.999	341.999	1808	1408.999	2011.002	1519.999	4008.182
Zbtb14	1369.347	572.02	106.941	345.578	319.828	449.627	336.212	787.667
Urgcp	1522.921	470.513	103.064	614.073	233.626	666.336	525.552	1047.034
Orai1	1809	772	139	726	406	568	584.999	1129
Pheta2	221	163.001	19	163	56.012	105	75	100
Nlrp10	87	50	11	10	59	38	25	105
Lig4	137	83	17	41	143	61	64	114
Mmp12	20476	8062.999	1308.001	6057	6117.001	6090	6523.001	13935
Zfp668	693.41	175.584	78.64	400.298	180.029	324.177	324.903	699.228
Trex1	1499.944	489.436	118.099	509.469	442.917	644.803	674.065	1023.389
Zfp646	1107.591	309.416	102.36	241.702	286.972	492.823	299.094	731.717
Arhgap15	1483	634	165.999	454	624	419.001	538.001	771.867
Rpl36al	3350	1256.199	259.486	710.754	1417.651	1790.37	1632.3	2823.751
Zfp672	787	201.999	34.001	126.001	181.506	388	279	493.001
Micos13	1429	635	144	502	741.999	712	615	1267.999
Zfp280b	68	74	30	113	84	61	70	105.021
Tmsb4x	127521.997	35941.993	8408	21977	60341.964	64267.994	58548.999	88227.984
Fzd4	291	68	22	96	121	63	67	93
Bag5	2311	832	166	949	948	887	856	1512
Sertad2	962	378.001	90	448	289.001	639	435	1043.001
Arhgap23	34	51	9	57	22	38	33	65
Ceacam19	1217	651	131	622	391	606	429	1200
Suox	86	34	9	31	35	72	72	95
Arl4c	5002	2549	402	1838	1772	1741	1680	3771
Nlrc3	95	52	6	40	7	56	46	117.999
Rlf	4118	1562	374	1504	1152	1715	1431.001	3600
2810025M15Rik	101	45	21	54.912	35.891	52	33	71
Vcpkmt	489	226.999	23	191.999	234.246	195	154.999	352.067
Slc35c1	2381	646	148	757	369	841.001	794	1249
H2ax	1460.397	682.94	110.65	628.022	453.32	726.958	694.889	1089.494
Pgrmc2	749	574	45	451	123	126	125	220
Rpp38	383	156	33	136	148	172	142	260
Ccdc137	580.999	339.001	61	331.001	193.985	368	335.985	613.001
Mrps16	1415	645	113	440	548	621	528	934.971
Plekhf2	7372	2809	579	2272	2935	2520	2755	5096
Lrrc25	2964.999	1053	223	887.951	783	1464.987	1271.971	2259.984
Ppp1r3d	181	29	12	15	4	51	32	102
Idnk	2253	1182.999	209	1047	757	918	909.001	1887
Apol10b	140	29	1	6.832	28	16	20	50
Pitpnb	4147.369	1577.58	335.766	1638.182	1955.85	1951.025	1802.6	4375.133
Amz1	1124	375.439	112.897	356	135.358	439	399.001	1030.997
Rap2c	1164	283	58	216	500	445	417	734
Tmx2	3225.858	1549.615	355.927	1443.856	1538.563	1231.667	1345.714	2732.48
Rspry1	3270.296	1425	282	1023.989	1319.999	1406.341	1350	2535.001
1600012H06Rik	1968.857	641.957	131.503	685.043	579.021	857.31	853.762	1279.205
Tmc8	390.001	103	36	149	46	158	158	273
Haspin	204	106	17	38	20	95	70	155
Sarm1	51	22	1	49	2	13	34	25
Slc25a44	2895.999	1200	260.001	1147.999	626.001	923	942.999	2387
Ubqln2	1830	774	205	891	660	517	545	1458
Nudt6	141.636	131.056	17.981	61.889	51.178	84.036	83.975	197.409
Lsm10	1857	991	133	610	879	798	670	1471
Eif5a2	615	191	46	144	243	151	190	420
Eva1b	257	58	21	91	84	92	101	166.999
Snip1	1621	479	107	505	624	554	556	1031
Pigm	1615	606	99	659	515	494	511	961
Cxcr3	97	33	16	20	60	43	74	82
Hic2	469	290.749	58	268.581	140.529	122	164	303.447
Heatr1	1529.34	645	86.032	666.09	584.318	910.165	657	1621.047
Prag1	290.001	100	16	104	97.001	96	58	142
Rictor	438.001	295.999	82	305	286.001	356	354	639
Nsun3	1151	383	119	291	404	441	413	822
Ndufaf6	324	143	30	109.001	161.999	117	145	374
Amer1	378	105	20	73	66	87	109	201
Lgals3	186121.001	80250.999	15092.001	63153.999	64622.999	84397.999	75038	169927
Gpr18	3246	1073	269	1084	1167	1036	1181	2334
Snx21	929.65	459.352	96.27	623.887	167.139	420.166	322.681	818.46
Septin6	182	107	14	116	47	199	109	137
Tnfsf15	55	28	13	10	31	15	18	12
Fbxo46	3395.281	1921.673	287.232	1669.625	1091.197	790.382	857.388	1766.084
Fam118b	1800	752.001	115	553.999	613.999	598.999	647	1055
Fbxl22	37.146	22.966	7.013	23.949	85.621	35.158	25.378	122.677
Fam241a	154	93	17	67	88	81	47	141
Lamtor4	1757	577	153	615	618	859	723	1244
Hyls1	125.368	49.164	4.135	63.983	49.89	100.427	57.987	130.284
Tor1aip2	1831.946	564.154	135.431	442.053	564.158	690.891	650.568	1580.273
Maml1	454	195	20	210	113	181	139	281
Mmp13	2395	853	205	465	631	958	1147	2100
Fam78a	476.403	151.877	30.192	164.042	107.393	185.121	151	252.889
Zfp61	246.999	97	15	140	48	95	144	338.999
Micos10	3603.001	1500.001	254.001	834	1450	1677.531	1371.999	2762
Zscan29	4417	1700	327	1784	1119.883	1410	1819	3244.001
Rps27rt	1516.602	491.406	113.237	102.731	359.115	673.633	297.749	603.516
Gpd1l	648	174	34	323	122	327	294	515
Ubald2	1257.548	466.755	95.168	440.151	384.451	574.185	487.237	951.465
Gpatch11	1036.001	495	108	302	386	598	496	856
